id,season,date,city,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_the_match,venue,umpire1,umpire2,umpire3
65,2014,8/22/2014,Grenada,Bangladesh,West Indies,Bangladesh,field,Normal,0,West Indies,177,0,SP Narine,"National Cricket Stadium, St George's",Aleem Dar,GO Brathwaite,
66,2014,8/20/2014,Grenada,Bangladesh,West Indies,West Indies,field,Normal,0,West Indies,0,3,KA Pollard,"National Cricket Stadium, St George's",RA Kettleborough,JS wilson,
67,2014,7/12/2014,Hambantota,South Africa,Sri Lanka,South Africa,bat,Normal,0,South Africa,82,0,AB de Villiers,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",SJ Davis,REJ Martinesz,
68,2014,7/9/2014,Kandy,South Africa,Sri Lanka,Sri Lanka,bat,Normal,0,Sri Lanka,87,0,TM Dilshan,Pallekele International Cricket Stadium,NJ Llong,RSA Palliyaguruge,
69,2014,7/6/2014,Colombo,South Africa,Sri Lanka,South Africa,bat,Normal,0,South Africa,75,0,HM Amla,R Premadasa Stadium,SJ Davis,REJ Martinesz,
70,2014,9/12/2014,Dublin,Ireland,Scotland,Scotland,field,Normal,0,Scotland,0,8,,"The Village, Malahide",MA Gough,M Hawthorne,
71,2017,7/10/2017,Hambantota,Sri Lanka,Zimbabwe,Zimbabwe,field,Normal,0,Zimbabwe,0,3,Sikandar Raza,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",IJ Gould,RR Wimalasiri,
72,2017,7/8/2017,Hambantota,Sri Lanka,Zimbabwe,Sri Lanka,field,Normal,0,Zimbabwe,0,4,CR Ervine,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",NJ Llong,REJ Martinesz,
73,2017,7/6/2017,Hambantota,Sri Lanka,Zimbabwe,Sri Lanka,field,Normal,0,Sri Lanka,0,8,MD Gunathilaka,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",IJ Gould,REJ Martinesz,
74,2017,7/2/2017,,Sri Lanka,Zimbabwe,Sri Lanka,field,Normal,0,Sri Lanka,0,7,PADLR Sandakan,Galle International Stadium,NJ Llong,RSA Palliyaguruge,
